date,rank_ic,top_decile_return,bottom_decile_return
2024-10-28,0.11,0.8630000000000003,-7.25
2024-10-29,0.11,0.8820000000000001,-7.572
2024-10-30,0.11,-0.25999999999999973,-7.806
2024-10-31,0.11,-1.4199999999999988,-8.093
2024-11-01,0.11,-1.668,-9.06
2024-11-04,0.11,1.0790000000000002,-6.042999999999999
2024-11-05,0.11,2.283,-6.56
2024-11-06,0.11,-0.12899999999999998,-8.821
2024-11-07,0.11,1.0070000000000001,-8.07
2024-11-08,0.11,2.9450000000000007,-5.843999999999999
2024-11-11,0.11,4.149,-5.228
2024-11-12,0.11,6.0840000000000005,-3.0140000000000002
2024-11-13,0.11,8.042000000000002,-1.13
2024-11-14,0.11,7.004000000000001,-1.561
2024-11-18,0.11,8.907,-1.506
2024-11-19,0.11,8.065,-2.575
2024-11-20,0.11,7.288,-3.742
2024-11-21,0.11,7.586,-3.4
2024-11-22,0.11,3.7340000000000013,-5.731000000000001
2024-11-25,0.11,1.358000000000001,-7.476
2024-11-26,0.11,1.0560000000000005,-7.515
2024-11-27,0.11,-0.14999999999999972,-8.939
2024-11-28,0.11,-0.8309999999999997,-10.366
2024-11-29,0.11,-1.1999999999999995,-10.382000000000001
2024-12-02,0.11,-3.306999999999999,-11.805
2024-12-03,0.11,-3.627,-12.002
2024-12-04,0.11,-3.249,-11.232999999999999
2024-12-05,0.11,-2.5189999999999992,-10.603
2024-12-06,0.11,-3.0659999999999994,-10.886999999999999
2024-12-09,0.11,-6.323999999999999,-15.472
2024-12-10,0.11,-4.675999999999999,-14.1
2024-12-11,0.11,-6.149,-14.979
2024-12-12,0.11,-5.488,-15.376
2024-12-13,0.11,-7.281999999999999,-18.05
2024-12-16,0.11,-12.527000000000001,-22.959
2024-12-17,0.11,-10.267,-18.791999999999998
2024-12-18,0.11,-9.492999999999999,-17.317999999999998
2024-12-19,0.11,-7.590999999999999,-15.499
2024-12-20,0.11,-5.7749999999999995,-12.315999999999999
2024-12-23,0.11,-4.5089999999999995,-10.958
2024-12-24,0.11,-6.396,-14.032
2024-12-25,0.11,-7.44,-16.386999999999997
2024-12-26,0.11,-6.122999999999999,-15.293
2024-12-27,0.11,-7.887,-17.154
2024-12-30,0.11,-10.418,-19.534
2024-12-31,0.11,-12.457,-22.202
2025-01-01,0.11,-10.447999999999999,-19.891
2025-01-02,0.11,-11.574,-21.005
2025-01-03,0.11,-10.148,-20.047
2025-01-06,0.11,8.802999999999999,-1.5009999999999994
