date,market_regime,active_industries,avg_strength
2024-10-28,WEAK_BEAR,70,23.603
2024-10-29,WEAK_BEAR,70,24.125285714285713
2024-10-30,WEAK_BEAR,70,27.207428571428572
2024-10-31,WEAK_BEAR,70,30.551142857142857
2024-11-01,WEAK_BEAR,70,32.74014285714286
2024-11-04,WEAK_BEAR,70,35.363571428571426
2024-11-05,WEAK_BEAR,70,34.79985714285714
2024-11-06,WEAK_BEAR,70,39.440000000000005
2024-11-07,WEAK_BEAR,70,38.559999999999995
2024-11-08,WEAK_BEAR,70,34.75371428571429
2024-11-11,WEAK_BEAR,70,31.948714285714285
2024-11-12,WEAK_BEAR,70,28.764857142857142
2024-11-13,WEAK_BEAR,70,23.59342857142857
2024-11-14,WEAK_BEAR,70,25.65
2024-11-18,WEAK_BEAR,70,25.181714285714285
2024-11-19,WEAK_BEAR,70,27.193
2024-11-20,WEAK_BEAR,70,30.48971428571429
2024-11-21,WEAK_BEAR,70,29.078857142857142
2024-11-22,WEAK_BEAR,70,30.997428571428575
2024-11-25,WEAK_BEAR,70,38.32085714285714
2024-11-26,WEAK_BEAR,70,37.282
2024-11-27,WEAK_BEAR,70,40.60214285714286
2024-11-28,WEAK_BEAR,70,39.390142857142855
2024-11-29,WEAK_BEAR,70,40.07671428571428
2024-12-02,SIDEWAYS,70,42.64814285714286
2024-12-03,SIDEWAYS,70,48.401857142857146
2024-12-04,WEAK_BULL,70,48.83157142857143
2024-12-05,WEAK_BULL,70,48.50785714285715
2024-12-06,WEAK_BULL,70,51.077285714285715
2024-12-09,WEAK_BULL,70,54.052
2024-12-10,WEAK_BULL,70,56.94271428571428
2024-12-11,WEAK_BULL,70,59.29757142857143
2024-12-12,WEAK_BULL,70,59.122428571428564
2024-12-13,WEAK_BULL,70,57.49814285714285
2024-12-16,WEAK_BULL,70,59.643
2024-12-17,WEAK_BULL,70,56.96142857142858
2024-12-18,WEAK_BULL,70,53.05357142857143
2024-12-19,SIDEWAYS,70,52.82071428571428
2024-12-20,SIDEWAYS,70,45.234428571428566
2024-12-23,WEAK_BEAR,70,41.20657142857143
2024-12-24,WEAK_BEAR,70,40.584
2024-12-25,WEAK_BEAR,70,39.261
2024-12-26,WEAK_BEAR,70,38.61785714285714
2024-12-27,WEAK_BEAR,70,38.30357142857143
2024-12-30,WEAK_BEAR,70,36.75328571428572
2024-12-31,WEAK_BEAR,70,36.86271428571428
2025-01-01,SIDEWAYS,70,40.76128571428571
2025-01-02,WEAK_BULL,70,42.68914285714286
2025-01-03,SIDEWAYS,70,41.897285714285715
2025-01-06,WEAK_BEAR,70,31.885428571428573
2025-01-07,WEAK_BEAR,70,35.507285714285715
2025-01-08,WEAK_BEAR,70,32.13514285714286
2025-01-09,WEAK_BEAR,70,29.377428571428574
2025-01-10,WEAK_BEAR,70,24.822999999999997
2025-01-13,WEAK_BEAR,70,19.68542857142857
2025-01-14,WEAK_BEAR,70,21.179714285714283
2025-01-15,WEAK_BEAR,70,21.726285714285712
2025-01-16,WEAK_BEAR,70,23.878714285714285
2025-01-17,WEAK_BEAR,70,25.550857142857144
2025-01-20,WEAK_BEAR,70,29.55657142857143
2025-01-21,WEAK_BEAR,70,25.341285714285714
2025-01-22,WEAK_BEAR,70,23.636
2025-01-23,WEAK_BEAR,70,24.764
2025-01-24,WEAK_BEAR,70,21.696571428571428
2025-01-27,WEAK_BEAR,70,19.101714285714287
2025-01-28,WEAK_BEAR,70,17.308571428571426
2025-01-29,WEAK_BEAR,70,18.429142857142857
2025-01-30,WEAK_BEAR,70,17.811
2025-01-31,WEAK_BEAR,70,19.31585714285714
2025-02-03,WEAK_BEAR,70,22.092714285714287
2025-02-04,WEAK_BEAR,70,22.097285714285714
2025-02-05,WEAK_BEAR,70,24.902285714285714
2025-02-06,WEAK_BEAR,70,25.979857142857142
2025-02-07,WEAK_BEAR,70,27.317714285714285
2025-02-10,WEAK_BEAR,70,27.675714285714285
2025-02-11,WEAK_BEAR,70,21.646285714285714
2025-02-12,WEAK_BEAR,70,22.616857142857143
2025-02-13,WEAK_BEAR,70,20.26457142857143
2025-02-14,WEAK_BEAR,70,17.030285714285714
2025-02-17,WEAK_BEAR,70,16.736285714285714
2025-02-18,WEAK_BEAR,70,16.102285714285717
2025-02-19,WEAK_BEAR,70,18.808714285714284
2025-02-20,WEAK_BEAR,70,19.65042857142857
2025-02-21,WEAK_BEAR,70,20.56742857142857
2025-02-24,WEAK_BEAR,70,20.847571428571428
2025-02-25,WEAK_BEAR,70,21.957857142857144
2025-02-27,WEAK_BEAR,70,18.404714285714284
2025-02-28,WEAK_BEAR,70,17.96814285714286
2025-03-03,WEAK_BEAR,70,16.485714285714284
2025-03-04,WEAK_BEAR,70,17.181428571428572
2025-03-05,WEAK_BEAR,70,19.128285714285713
2025-03-06,WEAK_BEAR,70,20.745285714285714
